"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00127582","Support Team","","Andriy Feshchyn","Bazaarvoice UK","SCI for ExtraStorage Space","","SCI","","3/4/2012","C4","Closed","","0.500","1.500"
"00127581","Support Team","","Andriy Feshchyn","Bazaarvoice UK","SCI for Bissell","","SCI","","3/4/2012","C4","Closed","","0.500","1.500"
"00127332","Strategic  Integration","UI Migration","Andriy Feshchyn","Bazaarvoice UK","Entirelypets UI 4.7 to 5.1","future","","","3/27/2012","C4","Closed","2.00","0.000","5.000"
"00127095","Strategic  Integration","Other","Andriy Feshchyn","Bazaarvoice UK","PIE issue Investigation","5.2.2","","","3/27/2012","C4","Closed","","3.000","38.000"
"00126591","Support Team","","Andriy Feshchyn","Bazaarvoice UK","Dollartree Staging URL Update","5.1.5","Integration Fix","","3/4/2012","C4","Closed","","0.500","0.500"
"00126176","Strategic  Integration","UI Migration","Andriy Feshchyn","Lloyds Pharmacy","LLoydsPharmacy UI migration","5.2.2","","","3/27/2012","","Closed","","0.000","8.000"
"00126173","Support Team","","Andriy Feshchyn","Bazaarvoice UK","SCI for Clarins UK, FR and US","5.1.4","SCI","","3/4/2012","C4","Closed","1.50","0.000","3.000"
"00126172","Support Team","","Andriy Feshchyn","Bazaarvoice UK","PetSmart SCI","5.1.4","SCI","","3/4/2012","C4","Closed","1.50","2.000","0.000"
"00126171","Support Team","","Andriy Feshchyn","Bazaarvoice UK","Mattel Autotag","5.1.4","SCI","","3/4/2012","C4","Closed","","0.000","1.500"
"00126170","Support Team","","Andriy Feshchyn","Bazaarvoice UK","SCI implementation","5.1.4","SCI","","3/4/2012","C4","Closed","","0.000","2.000"
"00125573","Strategic  Integration","UI Migration","Andriy Feshchyn","Free People","FreePeople: Migrate UI version to 5.1","5.1.3","","","3/4/2012","C1","Closed","","0.000","1.500"
"00125560","Support Team","","Andriy Feshchyn","Bazaarvoice UK","Social Commerce Insight Request","5.1.3","SCI","","3/4/2012","C4","Closed","1.50","0.000","1.500"
"00125562","Support Team","","Andriy Feshchyn","Metro PCS","Enable Social Insights","5.1.3","SCI","","3/4/2012","C6","Closed","1.50","0.000","1.500"
"00124886","Support Team","Other","Andriy Feshchyn","Bazaarvoice UK","SCI request","5.1.2","SCI","","3/4/2012","C4","Closed","1.50","0.000","1.500"
"00124887","Support Team","Other","Andriy Feshchyn","Bazaarvoice UK","SCI enablement for ZODEE","5.1.2","SCI","","3/4/2012","C4","Closed","1.50","0.000","1.500"
"00124415","Strategic  Integration","Other","Andriy Feshchyn","","Dotti SCI Request","5.1.1","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00124414","Strategic  Integration","Other","Andriy Feshchyn","","Jayjays SCI Request","5.1.1","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00124020","Strategic  Integration","Other","Andriy Feshchyn","Levi's","SCI Implementation for Dockers","5.1.0","","","3/4/2012","C4","Closed","1.50","0.000","1.500"
"00123157","Strategic  Integration","Other","Andriy Feshchyn","Bazaarvoice UK","Walmart: focusing after submittion","","","","4/9/2012","C4","Closed","2.00","","7.000"
"00123126","Strategic  Integration","PIE","Andriy Feshchyn","Sprint Nextel","Sprint Ready for PIE Implementation","","","","5/11/2012","C1","With Client","","16.000","13.000"
"00123063","Strategic  Integration","Other","Andriy Feshchyn","CamerasDirect.com.au","Implementing SCI for CamerasDirect on their new platform","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123061","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson (dyson.com)","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123060","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","Dyson UK dyson.co.uk","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123058","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123056","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00122949","Strategic  Integration","Other","Andriy Feshchyn","Pentland Group","Coremetrics account set up","5.0.12","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00122826","Strategic  Integration","Other","Andriy Feshchyn","Gresvig","SCI for 5.0.12","","","","3/4/2012","C5","Closed","4.50","0.000","4.500"
"00122596","Strategic  Integration","Other","Andriy Feshchyn","CDW","SCI (Coremetrics) Request","5.0.11","","","3/4/2012","","Closed","","0.000","1.500"
"00122508","Strategic  Integration","Other","Andriy Feshchyn","Johnson's Baby (J&J)","SCI Request - Aveeno","5.0.11","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122507","Strategic  Integration","Other","Andriy Feshchyn","Trina Turk","request to implement SCI","5.0.11","","","3/4/2012","","Closed","","0.000","1.500"
"00122501","Strategic  Integration","Other","Andriy Feshchyn","Groupa Mobivia","Norauto - Enable SCI","5.0.11","","","3/4/2012","","Closed","","0.000","1.500"
"00122500","Strategic  Integration","Other","Andriy Feshchyn","Groupa Mobivia","Norauto - Enable SCI","5.0.11","","","3/4/2012","","Closed","","0.000","1.500"
"00122488","Strategic  Integration","Other","Andriy Feshchyn","White Stuff","White Stuff - Enable SCI","5.0.11","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122490","Strategic  Integration","Other","Andriy Feshchyn","Aveeno (J&J)","SCI Request - Aveeno","5.0.11","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122136","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Mars Petcare (Mars)","The Nutro Company SCI Implementation","5.0.10","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122135","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Canon Canada","SCI","5.0.10","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122134","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Embrace Home Loans","Enable SCI","5.0.10","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122133","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Ashford.com, Inc.","Enable SCI for Ashford.com","5.0.10","","","3/4/2012","C1","Closed","1.50","0.000","1.500"
"00121720","Strategic  Integration","PIE","Andriy Feshchyn","Absolute Software","PIE for Absolute","","","","5/8/2012","","In Progress","","0.000","1.000"
"00121670","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Audio-Technica U.S., Inc.","Update review submission form","","","","3/4/2012","","Closed","","0.500","4.000"
"00121632","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas DE","5.0.9","","","3/4/2012","","Closed","","0.000","1.500"
"00121631","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas Canada","5.0.9","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00121630","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas FR","5.0.9","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00117521","Strategic  Integration","PIE","Andriy Feshchyn","Wagner Spray Tech Corporation","WL PIE for Wagner","","","","3/4/2012","","Closed","","0.500","0.500"
"00114701","Strategic  Integration","PIE","Andriy Feshchyn","Dollar Tree, Inc","white label PIE for DollarTree","5.1.4","","","4/17/2012","C4","Closed","3.00","2.000","27.500"
"00114527","Strategic  Integration","PIE","Andriy Feshchyn","Lloyds Pharmacy","PIE implementation for Lloydspharmacy","","","","5/9/2012","","In Progress","","2.000","21.000"
"00133503","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","AmericatEagle: Photo upload component does not work in IE9","","","","5/7/2012","C4","Closed","","0.500","1.000"
"00133502","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","RCI: Review rating starts are broken in IE7","","","","5/7/2012","C4","Closed","","0.500","3.000"
"00132105","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Provision New Client: vertbaudet-de_ch","","","","4/17/2012","C4","Closed","","0.500","5.000"
"00132104","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","John Lewis Partnership plc","","","","5/11/2012","C4","Closed","","3.250","2.000"
"00132076","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Scotch - custom js","","","","4/17/2012","C4","Closed","","0.500","0.500"
"00132077","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Taos - broken FTL tests","","","","4/17/2012","C4","Closed","","0.500","0.500"
"00132073","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Generac - Update CSS","","","","4/17/2012","C4","Closed","","0.500","1.000"
"00131636","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Calvin Klein - Update CSS","","","","4/12/2012","C4","Closed","","0.500","4.000"
"00130620","Support Team","","Andriy Ivaskevych","Venca","Enable SmartSEO for Venca please","","Feature Request/ Disable (No-Design)","","5/10/2012","C5","In Progress","","0.500","1.000"
"00130502","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: jm-bruneau - cancel button does not work on submission page","","","","3/29/2012","C4","Closed","3.00","1.000","12.000"
"00130460","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: aer1 - pie submission link redirects to ""sign in"" page","","","","4/2/2012","C4","Closed","","2.500","10.000"
"00130065","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Generac with fn. issues","","","","4/2/2012","C4","Closed","","","10.000"
"00130064","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: issue with RRM in smythstoys","","","","3/27/2012","C4","Closed","","0.500","2.500"
"00129836","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Ann Taylor & Loft - Jumping issue on filters in IE","","","","3/22/2012","C4","Closed","3.00","1.000","7.000"
"00129831","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: fellowes","","","","3/20/2012","C4","Closed","","0.500","1.000"
"00129432","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Calvin Klein: Update Email Template","5.2.3","","","3/19/2012","C4","Closed","","","2.000"
"00129340","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Generac: Broken Functionality","","","","3/13/2012","C4","Closed","","","1.500"
"00129219","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","PierceBiotechnologies","","","","3/26/2012","C4","Closed","","2.000","4.000"
"00129002","Support Team","","Andriy Ivaskevych","Bazaarvoice UK","French Connection SCI implementation","5.2.0","SCI","5.2.0","3/12/2012","C4","Closed","1.50","","3.000"
"00128662","Strategic  Integration","UI Migration","Andriy Ivaskevych","Bazaarvoice UK","jcpportraits: migrate ui version 4.7 -> 5.1","5.2.2","","","3/16/2012","C4","Closed","3.00","0.000","4.000"
"00128665","Strategic  Integration","UI Migration","Andriy Ivaskevych","Bazaarvoice UK","targetportraits: migrate ui version 4.7 -> 5.1","5.2.2","","","3/16/2012","C4","Closed","3.00","1.000","1.000"
"00128115","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Hosted Authentication for Walmart","5.2.1","","","3/12/2012","C4","Closed","6.00","0.500","5.500"
"00127719","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Additional Tools","","","","5/11/2012","C4","Closed","","2.000","65.000"
"00127312","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Calvin Klein Hosted Authentication - Step 1","5.2.0","","","3/12/2012","C4","Closed","20.00","2.500","23.000"
"00127079","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","QVC-UK: Client Requested Changes from BVC-116342","5.1.5","","","3/4/2012","C4","Closed","5.00","0.500","4.500"
"00126465","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","skullcandy: submission issue","5.1.4","","","3/4/2012","C4","Closed","2.00","0.500","1.500"
"00126426","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Internal: Report Tool","","","","5/11/2012","C4","In Progress","20.00","6.000","55.000"
"00125922","Support Team","Other","Andriy Ivaskevych","Bazaarvoice UK","Social Insights for JTV","5.1.5","SCI","","3/4/2012","C4","Closed","3.00","0.500","3.500"
"00125897","Strategic  Integration","Social Commerce Upgrade","Andriy Ivaskevych","Cutco Knives (Vector Marketing)","Enable Hosted Authentication","5.1.5","","","3/4/2012","C4","Closed","18.00","0.000","20.000"
"00125831","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","ModernTeachingAids: QA tab issue","5.1.4","","","3/4/2012","C4","Closed","1.00","0.500","0.500"
"00125555","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","UI Notes Merger Tool","5.2.4","","","3/14/2012","C4","Closed","8.00","","12.000"
"00125374","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Debenhams: Formatting issue","5.1.3","","","3/4/2012","C4","Closed","2.00","","2.000"
"00125302","Strategic  Integration","Social Commerce Upgrade","Andriy Ivaskevych","Cutco Knives (Vector Marketing)","uiVersion Migration, setup Exact Target template for Hosted Authentication","5.1.3","","","3/4/2012","C4","Closed","10.00","0.000","10.000"
"00125106","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","SCI Request for Audio Technica","5.1.3","","","3/4/2012","C4","Closed","1.50","0.000","1.500"
"00125078","Support Team","","Andriy Ivaskevych","Alberto-Culver Company","Changes to review form","5.1.3","Minor UI Change","","3/4/2012","","Closed","4.00","0.000","4.000"
"00124729","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Nokiacom: Facebook Connect and Login Issues","5.1.2","","","3/4/2012","C4","Closed","10.00","0.000","8.000"
"00124572","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Restaurant.com: change properties","5.1.2","","","3/4/2012","C4","Closed","3.00","0.000","3.000"
"00124417","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Goertz : new JS migration","5.1.1","","","3/4/2012","C4","Closed","3.00","0.000","3.000"
"00124329","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Allowing Customers to Comment on Reviews","5.1.1","","","3/4/2012","C4","Closed","3.00","0.000","3.000"
"00123406","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","crateandbarrel & cb2 Hosted Authentication","5.1.2","","","3/4/2012","C4","Closed","15.00","0.750","26.000"
"00123046","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Stockmann-fi: issue with submission content with UI 5.0","5.0.13","","","3/4/2012","C4","Closed","2.00","","2.000"
"00123038","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Petco: investingate functional issue","5.0.13","","","3/4/2012","C4","Closed","1.00","0.000","1.000"
"00122938","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","MarcOPolo: migration to main display","5.2.1","","","3/4/2012","C4","Closed","3.00","0.500","4.500"
"00122682","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Karenmillen: lightbox to center","5.0.12","","","3/4/2012","C4","Closed","2.00","","2.000"
"00122618","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Footlocker, Eastbay, CCS: Enable Facebook Connect for Staging Environments","5.0.12","","","3/4/2012","C4","Closed","8.00","","8.000"
"00122617","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Issue with Play image on Video play thumbnail","5.0.13","","","3/4/2012","C4","Closed","1.50","","1.500"
"00122592","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Rayovac: TS issues","5.0.11","","","3/4/2012","C4","Closed","3.00","","3.000"
"00122589","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Dixons-nl (R&R, A&A): Results of Weekly Release Testing on Staging","5.0.11","","","3/4/2012","C4","Closed","0.50","","0.500"
"00122583","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Lululemon, Bestbuy: Issue with id attribute","5.0.10","","","3/4/2012","C4","Closed","0.25","","0.250"
"00122582","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","Vintage Tub: GUI issues with Facebook Connect","5.0.11","","","3/4/2012","C4","Closed","2.00","","1.000"
"00122581","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice UK","WilliamsSonoma: TS issue","5.0.11","","","3/4/2012","C4","Closed","1.00","","1.000"
"00122527","Support Team","","Andriy Ivaskevych","Bazaarvoice UK","BassProShops (PRR): TS issues","5.0.11","Feature Request/ Disable (No-Design)","5.0.11","3/4/2012","C4","Closed","1.00","","1.000"
"00119074","Strategic  Integration","PIE","Andriy Ivaskevych","Brown Shoe Co.","We would like to implement PIE on our 3 sites","5.1.4","","","3/4/2012","C1","Closed","1.00","0.500","1.500"
"00133252","Support Team","","Anna Hordiyenko","Moen Incorporated","Moen MyVoice Badge","","Text Change","","5/11/2012","C4","Resolved","1.00","0.250","1.000"
"00133239","Support Team","","Anna Hordiyenko","My Supermarket Ltd","Review Request Module","5.6.1","Feature Request/ Disable (No-Design)","5.6.1","5/11/2012","","In Progress","2.00","0.750","0.000"
"00133045","Strategic  Integration","PIE","Anna Hordiyenko","Maytag","Silverpop PIE Integration for Maytag","","","","5/12/2012","","In Progress","","0.250","4.000"
"00132600","Support Team","","Anna Hordiyenko","AutoAnything.com","Social Recommendation","","Feature Request/ Disable (No-Design)","","5/8/2012","C1","Closed","","2.000","4.000"
"00131585","Strategic  Integration","Social Commerce Upgrade","Anna Hordiyenko","Crest 3DWhite (P&G)","SmartSEO Basic and JS Integration","","","","5/10/2012","C4","With Client","6.00","0.750","10.000"
"00131088","Strategic  Integration","UI Migration","Anna Hordiyenko","Bazaarvoice UK","INTERNAL: QVC-DE - UI migration 4.8 - 5.3","5.4.1","","","4/24/2012","C4","In Progress","3.00","0.000","3.000"
"00131033","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice UK","Migrate display codes","5.4.1","","","4/26/2012","C4","Closed","15.00","0.500","24.500"
"00130469","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice UK","INTERNAL: 3M - Removing Exact Target SA configuration","5.3.1","","","4/2/2012","C4","Closed","12.00","0.250","13.000"
"00130442","Strategic  Integration","Other","Anna Hordiyenko","Cutco Knives (Vector Marketing)","migrate display codes","5.3.1","","","4/2/2012","C4","Closed","4.00","0.250","3.500"
"00130002","Strategic  Integration","PIE","Anna Hordiyenko","Whirlpool Corporation","Hosted Page Mockup","","","","5/11/2012","","In Progress","","0.250","8.000"
"00129597","Strategic  Integration","PIE","Anna Hordiyenko","Cheapy","white label PIE","","","","4/17/2012","C5","In Progress","","0.000","2.000"
"00128705","Support Team","","Anna Hordiyenko","Bazaarvoice UK","SCI Setup Request for Matco Tools","5.2.0","SCI","","3/7/2012","C4","Closed","1.50","0.250","1.500"
"00128670","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice UK","Apple - UI migration 4.7 -> 5.1","5.2.0","","","3/7/2012","C4","Closed","2.00","0.000","3.000"
"00127924","Support Team","","Anna Hordiyenko","QVC (DE)","QVC DE - Coremetrics SCI request","5.2.0","SCI","","3/7/2012","C2","Closed","2.00","0.250","2.000"
"00127729","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice UK","Scotchbrite - UI migration 4.7 -> 5.1","5.2.1","","","3/14/2012","C4","Closed","2.00","0.000","2.000"
"00127698","Support Team","","Anna Hordiyenko","Bazaarvoice UK","SCI for Oreck","5.1.6","SCI","5.1.6","3/4/2012","C4","Closed","1.50","0.250","2.000"
"00127239","Strategic  Integration","PIE","Anna Hordiyenko","3M Company (3M)","Scotch-Brite Social Alert Set-up Needed at Epsilon","5.2.2","Social Alerts","","4/2/2012","C4","Closed","1.00","1.250","1.500"
"00127083","Strategic  Integration","UI Migration","Anna Hordiyenko","Bazaarvoice UK","INTERNAL: Walmart - UI migration 5.0 -> 5.1","5.3.1","","","4/24/2012","C4","Closed","4.00","0.000","6.000"
"00126600","Strategic  Integration","UI Migration","Anna Hordiyenko","Bazaarvoice UK","DRL: migrate to 5.1 defaultui","5.1.5","","","3/4/2012","C4","Closed","6.00","0.000","5.000"
"00126345","Support Team","","Anna Hordiyenko","Bazaarvoice UK","GA Social insight request","5.1.4","SCI","5.1.4","3/4/2012","C4","Closed","3.00","0.000","1.500"
"00124834","Support Team","","Anna Hordiyenko","Rosetta Stone","Removing authentication from UK site","5.2.2","Feature Request/ Disable (No-Design)","","3/22/2012","C4","Closed","1.00","1.000","4.000"
"00122777","Support Team","PIE","Anna Hordiyenko","Bilka","Getting company reviews","5.0.13","Feature Request/ Disable (No-Design)","","3/4/2012","C5","Closed","2.00","1.000","2.000"
"00122714","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice UK","Golfsmith migration to 5.0","5.0.12","","","3/4/2012","C4","Closed","","0.000","4.500"
"00122715","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice UK","B&Q DIY migration to 5.1","5.1.5","","","3/4/2012","C4","Closed","6.00","0.000","6.000"
"00121487","Strategic  Integration","Other","Anna Hordiyenko","3M Company (3M)","Migration of Social Alerts from Exact Target to Epsilon","5.1.5","","","3/5/2012","C4","Closed","","7.000","47.000"
"00121080","Strategic  Integration","Feature Adoption","Anna Hordiyenko","Home Made Simple (P&G)","Home Made Simple Feature Updates","","","","3/4/2012","C4","Closed","","0.250","5.500"
"00120393","Strategic  Integration","Freemarker Migration","Anna Hordiyenko","PetSmart","Freemarker Migration - PetSmart","5.0.8","","","3/4/2012","C4","Closed","24.00","0.250","37.500"
"00116320","Strategic  Integration","PIE","Anna Hordiyenko","CVS","WL PIE for CVS","5.2.2","","","4/17/2012","","Ready for Release","3.00","2.000","22.000"
"00115261","Support Team","","Anna Hordiyenko","B&Q plc (GBP)","RE: B&Q","5.0.11","Feature Request/ Disable (Design Required)","","3/4/2012","C5","Closed","4.00","8.000","24.000"
"00114184","Strategic  Integration","PIE","Anna Hordiyenko","Guthy-Renker Scandinavia","Proactiv FI - PIE with eCircle","5.0.9","","","3/4/2012","C5","Closed","","0.250","2.750"
"00114185","Strategic  Integration","PIE","Anna Hordiyenko","Guthy-Renker Scandinavia","Proactiv DK - PIE with eCircle","5.0.9","","","3/4/2012","C5","Closed","","0.250","2.750"
"00114183","Strategic  Integration","PIE","Anna Hordiyenko","Guthy-Renker Scandinavia","Proactiv NO - PIE with eCircle","5.0.9","","","3/4/2012","C5","Closed","","0.250","3.750"
"00111144","Strategic  Integration","PIE","Anna Hordiyenko","Guthy-Renker Scandinavia","Proactiv SE - PIE with eCircle","5.0.9","","","3/4/2012","C5","Closed","","3.000","22.250"
"00133479","Strategic  Integration","UI Migration","Anton Starykov","Ojon (Estee Lauder)","ojon: migrate to 5.6","5.6.0","","","5/11/2012","C4","In Progress","4.00","0.000","5.000"
"00133473","Support Team","","Anton Starykov","Bazaarvoice UK","neck-nl migration","5.6.0","Feature Request/ Disable (No-Design)","","5/8/2012","C4","In Progress","4.00","0.000","4.000"
"00133472","Strategic  Integration","Other","Anton Starykov","Bazaarvoice UK","The Home Depot Product Families issue investigating","5.6.0","","","5/10/2012","C4","Closed","2.00","0.500","2.000"
"00133207","Support Team","","Anton Starykov","Bazaarvoice UK","Please assign to Social Insights - Bazaarvoice move to evar40 in new report suite for HP","5.6.0","SCI","5.6.0","5/10/2012","C4","Closed","2.00","0.000","2.000"
"00133133","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","thomaspink: UI migration","5.6.0","","","5/11/2012","C4","Closed","4.00","0.000","4.000"
"00132808","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","canon: Migrate UI version to 5.3","5.6.0","","","5/3/2012","C4","In Progress","4.00","0.000","4.000"
"00132802","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","LeapFrog: UI migration version 5.1 -> 5.3","5.6.0","","","5/4/2012","C4","Closed","4.00","0.000","4.000"
"00132724","Support Team","","Anton Starykov","Bazaarvoice UK","SCI Tagging Request","5.5.2","SCI","5.5.1","5/2/2012","C4","Closed","2.00","0.000","2.000"
"00132563","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","Internal Thymes Migration to 5.3","5.5.1","","","5/4/2012","C4","Closed","4.00","0.000","5.500"
"00132554","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","Internal Schwab Migration to 5.3","5.5.1","","","5/10/2012","C4","Closed","4.00","0.000","5.000"
"00132483","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","Internal Tesco Migration to 5.3","5.5.1","","","5/11/2012","C4","Closed","4.00","0.000","4.500"
"00132094","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","Internal PrilosecOTC Migration to 5.3","5.5.0","","","4/26/2012","C4","Closed","5.00","0.000","5.000"
"00131888","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","denniskirk: Migrate UI version 4.7 -> 5.3","5.5.0","","","4/26/2012","C4","Closed","4.00","0.000","4.500"
"00131397","Support Team","Other","Anton Starykov","Bazaarvoice UK","SCI for Prilosec OTC (P&G)","5.4.1","SCI","5.4.1","4/23/2012","C4","Closed","2.00","0.250","2.000"
"00131257","Strategic  Integration","UI Migration","Anton Starykov","Bazaarvoice UK","Internal Epson-UK Migration to 5.3","5.5.1","","","5/10/2012","C4","Closed","6.00","0.000","8.000"
